date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
01/20/20 12:00:00 AM,5.82700014,2.00900006,1.59899998,0.46200001,4.20300007,1.34000003,30.5310001
01/20/20 12:00:00 AM,5.69299984,2.07599998,1.49199998,0.426,4.1420002,1.37100005,27.7870007
01/20/20 12:00:00 AM,5.15700006,1.74100006,1.27900004,0.35499999,3.77699995,1.21800005,27.7870007
01/20/20 12:00:01 AM,5.09000015,1.94200003,1.27900004,0.391,3.80699992,1.27900004,25.0440006
01/20/20 12:00:01 AM,5.3579998,1.94200003,1.49199998,0.46200001,3.86800003,1.27900004,21.948
01/20/20 12:00:01 AM,5.62599993,2.14299989,1.528,0.53299999,4.05100012,1.37100005,21.1739998
01/20/20 12:00:01 AM,7.16699982,2.94700003,2.13199997,0.78200001,5.02600002,1.85800004,22.7919998
01/20/20 12:00:01 AM,7.43499994,3.28200006,2.30999994,1.03100002,5.08699989,2.22399998,23.1439991
01/20/20 12:00:01 AM,5.55900002,3.01399994,2.4519999,1.17299998,2.95499992,1.43200004,21.6669998
01/20/20 12:00:02 AM,4.55499983,2.54500008,1.91900003,0.81699997,2.68000007,1.37100005,17.4459991
01/20/20 12:00:02 AM,4.95699978,2.54500008,1.99000001,0.85299999,2.95499992,1.49199998,19.9790001
01/20/20 12:00:02 AM,5.76000023,2.54500008,2.20300007,0.85299999,3.44199991,1.49199998,20.1189995
01/20/20 12:00:02 AM,4.68900013,2.54500008,1.81200004,0.85299999,2.83299994,1.523,19.2049999
01/20/20 12:00:02 AM,4.68900013,2.6789999,1.77699995,1.24399996,3.10700011,1.61399996,18.5720005
01/20/20 12:00:02 AM,5.09000015,2.94700003,2.4519999,1.35000002,2.55900002,1.43200004,19.5559998
01/20/20 12:00:03 AM,5.09000015,3.148,2.48699999,1.35000002,2.58899999,1.523,17.3050003
01/20/20 12:00:03 AM,4.21999979,2.41100001,1.70599997,0.78200001,2.61899996,1.49199998,19.4860001
01/20/20 12:00:03 AM,4.75600004,2.3440001,1.63499999,0.71100003,3.07599998,1.49199998,19.1340008
01/20/20 12:00:03 AM,5.62599993,2.88000011,2.523,1.20799994,3.07599998,1.49199998,20.6819992
01/20/20 12:00:03 AM,5.4920001,3.01399994,2.4519999,1.20799994,3.0150001,1.55299997,18.7119999
01/20/20 12:00:03 AM,5.3579998,3.01399994,2.4519999,1.20799994,2.86299992,1.523,17.868
01/20/20 12:00:04 AM,5.09000015,2.94700003,2.38100004,1.20799994,2.68000007,1.523,18.0090008
01/20/20 12:00:04 AM,4.82299995,2.94700003,2.20300007,1.17299998,2.61899996,1.523,18.0090008
01/20/20 12:00:04 AM,4.62200022,2.88000011,2.13199997,1.13699996,2.46700001,1.49199998,19.7679996
01/20/20 12:00:04 AM,5.22399998,3.08100009,2.70099998,1.31500006,2.43700004,1.523,21.1040001
01/20/20 12:00:04 AM,5.15700006,3.01399994,2.87800002,1.35000002,2.34500003,1.43200004,19.6970005
01/20/20 12:00:04 AM,5.15700006,3.148,2.87800002,1.49199998,2.28399992,1.43200004,20.0489998
01/20/20 12:00:05 AM,5.15700006,3.08100009,2.91400003,1.49199998,2.19300008,1.40100002,20.7520008
01/20/20 12:00:05 AM,4.55499983,3.08100009,2.4519999,1.49199998,2.19300008,1.40100002,21.3850002
01/20/20 12:00:05 AM,5.42500019,3.28200006,3.09200001,1.70599997,2.43700004,1.46200001,22.2299995
01/20/20 12:00:05 AM,5.4920001,3.28200006,2.523,1.49199998,2.9849999,1.46200001,20.2600002
01/20/20 12:00:05 AM,5.62599993,3.21499991,2.48699999,1.49199998,3.07599998,1.523,21.1040001
01/20/20 12:00:05 AM,5.55900002,3.28200006,2.5940001,1.66999996,2.92400002,1.523,20.6119995
01/20/20 12:00:06 AM,5.22399998,3.21499991,2.55900002,1.56400001,2.68000007,1.46200001,18.3610001
01/20/20 12:00:06 AM,9.91300011,4.95699978,6.64499998,3.30500007,3.046,1.55299997,20.9629993
